relation_type	raw_description	formatted_relation_type	description	prompt_template	resource	abbr	source_type	target_type	annotation
CTD::increases^sumoylation::Compound:Gene	Compound increases gene sumoylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^sumoylation	Compound	Gene	
CTD::increases^transport::Compound:Gene	Compound increases gene transport	BioMedGPS::E+::Compound:Gene	A compound that significantly enhances the expression of a specific gene.	Does the #Compound# significantly enhance the expression of #Gene#?	CTD	increases^transport	Compound	Gene	
CTD::increases^ubiquitination::Compound:Gene	Compound increases gene ubiquitination	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^ubiquitination	Compound	Gene	
CTD::increases^uptake::Compound:Gene	Compound increases gene uptake	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^uptake	Compound	Gene	
Hetionet::CcSE::Compound:SideEffect	The compound causes a side effect	BioMedGPS::SideEffect::Compound:Disease	"A compound can cause a specific side effect when used, related to a disease or condition."	"Can the #Compound# cause a specific side effect when used, related to #Disease# or condition?"	Hetionet	CcSE	Compound	SideEffect	Compound–causes–Side Effect
PrimeKG::side_effect::Compound:Symptom	Compound causes a side effect	BioMedGPS::SideEffect::Compound:Symptom	A compound that causes a specific side effect related to a symptom.	Does the #Compound# cause a specific side effect related to #Symptom#?	PrimeKG	side_effect	Compound	Symptom	
Hetionet::DlA::Disease:Anatomy	The disease localizes to a specific anatomy	BioMedGPS::LocatedIn::Disease:Anatomy	A disease that is located in or affects a specific anatomical structure.	Is the #Disease# located in or does it affect the #Anatomy#?	Hetionet	DlA	Disease	Anatomy	Disease–localizes–Anatomy
PrimeKG::contraindication::Disease:Compound	Disease is contraindicated for a compound	BioMedGPS::Contraindication::Compound:Disease	"A compound is contraindicated for a specific disease, meaning it should not be used due to potential harm or adverse effects."	"Is the #Compound# contraindicated for #Disease#, suggesting it should not be used due to potential harm or adverse effects?"	PrimeKG	contraindication	Disease	Compound	
PrimeKG::indication::Disease:Compound	Disease is indicated for a compound	BioMedGPS::Treatment::Compound:Disease	A compound is used in the treatment of a specific disease.	Is the #Compound# used in the treatment of #Disease#?	PrimeKG	indication	Disease	Compound	
PrimeKG::off-label_use::Disease:Compound	Disease is treated off-label with a compound	BioMedGPS::Treatment::Compound:Disease	A compound is used in the treatment of a specific disease.	Is the #Compound# used in the treatment of #Disease#?	PrimeKG	off-label_use	Disease	Compound	
Hetionet::DrD::Disease:Disease	The disease resembles another disease	BioMedGPS::SimilarWith::Disease:Disease	"Two diseases that share similarities, which could be in terms of symptoms, causes, or other characteristics."	"Do #Disease1# and #Disease2# share similarities in terms of symptoms, causes, or other characteristics?"	Hetionet	DrD	Disease	Disease	Disease–resembles–Disease
PrimeKG::parent-child::Disease:Disease	Parent-child relationship between diseases	BioMedGPS::ParentChild::Disease:Disease	"A hierarchical relationship between two diseases, where one is considered a parent disease and the other a child disease."	"Is there a hierarchical relationship between #Disease1# and #Disease2#, where #Disease1# is broader and #Disease2# is more specific?"	PrimeKG	parent-child	Disease	Disease	
bioarx::Coronavirus_ass_host_gene::Disease:Gene	Gene associated with a disease caused by a coronavirus	BioMedGPS::AssociatedWith::Gene:Disease	"A gene that is associated with a specific disease, suggesting a potential link or involvement in the disease process."	"Is the #Gene# associated with #Disease#, suggesting a potential link or involvement in the disease process?"	bioarx	Coronavirus_ass_host_gene	Disease	Gene	
bioarx::Covid2_acc_host_gene::Disease:Gene	Gene associated with a disease caused by COVID-2	BioMedGPS::AssociatedWith::Gene:Disease	"A gene that is associated with a specific disease, suggesting a potential link or involvement in the disease process."	"Is the #Gene# associated with #Disease#, suggesting a potential link or involvement in the disease process?"	bioarx	Covid2_acc_host_gene	Disease	Gene	
Hetionet::DaG::Disease:Gene	The gene is associated with the disease	BioMedGPS::AssociatedWith::Gene:Disease	"A gene that is associated with a specific disease, suggesting a potential link or involvement in the disease process."	"Is the #Gene# associated with #Disease#, suggesting a potential link or involvement in the disease process?"	Hetionet	DaG	Disease	Gene	Disease–associates–Gene
Hetionet::DdG::Disease:Gene	The disease downregulates the gene	BioMedGPS::E-::Disease:Gene	A gene is down-regulated in a specific disease.	Is the #Gene# down-regulated in #Disease#?	Hetionet	DdG	Disease	Gene	Disease–downregulates–Gene
Hetionet::DuG::Disease:Gene	The disease upregulates the gene	BioMedGPS::E+::Disease:Gene	"A gene that is significantly expressed in a specific disease context, indicating a strong association."	"Is the #Gene# significantly expressed in the context of #Disease#, indicating a strong association?"	Hetionet	DuG	Disease	Gene	Disease–upregulates–Gene
PrimeKG::associated_with::Disease:Gene	Disease is associated with a gene	BioMedGPS::AssociatedWith::Gene:Disease	"A gene that is associated with a specific disease, suggesting a potential link or involvement in the disease process."	"Is the #Gene# associated with #Disease#, suggesting a potential link or involvement in the disease process?"	PrimeKG	associated_with	Disease	Gene	
Hetionet::DpS::Disease:Symptom	The disease presents a specific symptom	BioMedGPS::Present::Disease:Symptom	A symptom that is present and characteristic of a specific disease.	Is the #Symptom# characteristic and present in #Disease#?	Hetionet	DpS	Disease	Symptom	Disease–presents–Symptom
HSDN::has_symptom::Disease:Symptom	The disease presents a specific symptom	BioMedGPS::Present::Disease:Symptom	A symptom that is present and characteristic of a specific disease.	Is the #Symptom# characteristic and present in #Disease#?	HSDN	has_symptom	Disease	Symptom	
PrimeKG::phenotype_absent::Disease:Symptom	Disease lacks a specific phenotype	BioMedGPS::Absent::Disease:Symptom	The disease does not present a specific symptom	Is the #Symptom# not present in #Disease#?	PrimeKG	phenotype_absent	Disease	Symptom	
PrimeKG::phenotype_present::Disease:Symptom	Disease has a specific phenotype	BioMedGPS::Present::Disease:Symptom	A symptom that is present and characteristic of a specific disease.	Is the #Symptom# characteristic and present in #Disease#?	PrimeKG	phenotype_present	Disease	Symptom	
PrimeKG::expression_absent::Gene:Anatomy	Gene lacks expression in an anatomy	BioMedGPS::NE::Anatomy:Gene	"The gene is not expressed in a specific anatomical structure (NE), meaning the gene is inactive or no activity has been detected in that structure."	"Is the #Gene# not expressed in the #Anatomy#, indicating inactivity or undetectable activity?"	PrimeKG	expression_absent	Gene	Anatomy	
PrimeKG::expression_present::Gene:Anatomy	Gene is expressed in an anatomy	BioMedGPS::E::Anatomy:Gene	"The gene has a general level of expression in a specific anatomical structure (E), meaning the gene exhibits regular activity in that structure, neither particularly high nor low."	"Does the #Gene# exhibit a general level of expression in the #Anatomy#, showing regular activity that is neither high nor low?"	PrimeKG	expression_present	Gene	Anatomy	
Hetionet::GpBP::Gene:BiologicalProcess	Gene participates in a biological process	BioMedGPS::InBP::Gene:BiologicalProcess	A gene that is involved in or associated with a specific biological process.	Is the #Gene# involved in or associated with #BiologicalProcess#?	Hetionet	GpBP	Gene	BiologicalProcess	Gene–participates–Biological Process
PrimeKG::interacts_with::Gene:BiologicalProcess	Gene interacts with a biological process	BioMedGPS::Interaction::Gene:BiologicalProcess	"An interaction between a gene and a biological process, suggesting that the gene plays a role in regulating or affecting that process."	"Is there an interaction between #Gene# and #BiologicalProcess#, suggesting a role in regulating or affecting the process?"	PrimeKG	interacts_with	Gene	BiologicalProcess	
Hetionet::GpCC::Gene:CellularComponent	Gene participates in a cellular component	BioMedGPS::InCC::Gene:CellularComponent	"A gene associated with a specific cellular component, indicating its localization or activity within that component."	"Is the #Gene# associated with the #CellularComponent#, indicating its localization or activity within that component?"	Hetionet	GpCC	Gene	CellularComponent	Gene–participates–Cellular Component
PrimeKG::interacts_with::Gene:CellularComponent	Gene interacts with a cellular component	BioMedGPS::Interaction::Gene:CellularComponent	"An interaction between a gene and a cellular component, affecting the function or structure of that component."	"Is there an interaction between #Gene# and #CellularComponent#, affecting the function or structure of the component?"	PrimeKG	interacts_with	Gene	CellularComponent	
DGIDB::ACTIVATOR::Gene:Compound	Compound that activates the specified gene	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	DGIDB	ACTIVATOR	Gene	Compound	
DGIDB::AGONIST::Gene:Compound	Compound that acts as an agonist for the specified gene	BioMedGPS::Agonist::Compound:Gene	"A compound acts as an agonist of a specific gene, meaning it binds to and activates the gene or its protein product."	"Does the #Compound# act as an agonist of #Gene#, binding to and activating the gene or its protein product?"	DGIDB	AGONIST	Gene	Compound	
DGIDB::ALLOSTERIC MODULATOR::Gene:Compound	Compound that modulates the specified gene's activity allosterically	BioMedGPS::AllostericModulator::Compound:Gene	"A compound acts as an allosteric modulator of a gene's protein product, meaning it binds to a site other than the active site and modulates the protein's function."	"Does the #Compound# act as an allosteric modulator of the #Gene#, binding to a site other than the active site and modulating its function?"	DGIDB	ALLOSTERIC MODULATOR	Gene	Compound	
DGIDB::ANTAGONIST::Gene:Compound	Compound that acts as an antagonist for the specified gene	BioMedGPS::Antagonist::Compound:Gene	"A compound acts as an antagonist of a specific gene, meaning it inhibits the gene's expression or the activity of its protein product."	"Does the #Compound# act as an antagonist of #Gene#, inhibiting its expression or the activity of its protein product?"	DGIDB	ANTAGONIST	Gene	Compound	
DGIDB::ANTIBODY::Gene:Compound	Compound that is an antibody targeting the specified gene	BioMedGPS::Antibody::Compound:Gene	"A compound is an antibody targeting a specific gene or its protein product, usually used for therapeutic or diagnostic purposes."	"Is the #Compound# an antibody targeting #Gene# or its protein product, typically used for therapeutic or diagnostic purposes?"	DGIDB	ANTIBODY	Gene	Compound	
DGIDB::BINDER::Gene:Compound	Compound that binds to the specified gene	BioMedGPS::Binder::Compound:Gene	"A compound binds to a specific gene or its protein product, potentially affecting its function or regulation."	"Does the #Compound# bind to #Gene# or its protein product, potentially affecting its function or regulation?"	DGIDB	BINDER	Gene	Compound	
DGIDB::BLOCKER::Gene:Compound	Compound that acts as a blocker for the specified gene	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	DGIDB	BLOCKER	Gene	Compound	
DGIDB::CHANNEL BLOCKER::Gene:Compound	Compound that blocks a channel associated with the specified gene	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	DGIDB	CHANNEL BLOCKER	Gene	Compound	
DGIDB::INHIBITOR::Gene:Compound	Compound that inhibits the specified gene	BioMedGPS::Inhibitor::Compound:Gene	A compound that inhibits the expression or activity of a specific gene.	Does the #Compound# inhibit the expression or activity of #Gene#?	DGIDB	INHIBITOR	Gene	Compound	
DGIDB::MODULATOR::Gene:Compound	Compound that modulates the activity of the specified gene	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	DGIDB	MODULATOR	Gene	Compound	
DGIDB::OTHER::Gene:Compound	Gene interaction type that doesn't fit into other categories	BioMedGPS::AssociatedWith::Compound:Gene	"A compound is associated with a specific gene, suggesting a potential relationship or interaction, but not necessarily causal."	"Is the #Compound# associated with #Gene#, suggesting a potential relationship or interaction?"	DGIDB	OTHER	Gene	Compound	
DGIDB::PARTIAL AGONIST::Gene:Compound	Compound that acts as a partial agonist for the specified gene	BioMedGPS::Agonist::Compound:Gene	"A compound acts as an agonist of a specific gene, meaning it binds to and activates the gene or its protein product."	"Does the #Compound# act as an agonist of #Gene#, binding to and activating the gene or its protein product?"	DGIDB	PARTIAL AGONIST	Gene	Compound	
DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	Compound that positively modulates the specified gene's activity allosterically	BioMedGPS::AllostericModulator::Compound:Gene	"A compound acts as an allosteric modulator of a gene's protein product, meaning it binds to a site other than the active site and modulates the protein's function."	"Does the #Compound# act as an allosteric modulator of the #Gene#, binding to a site other than the active site and modulating its function?"	DGIDB	POSITIVE ALLOSTERIC MODULATOR	Gene	Compound	
PrimeKG::carrier::Gene:Compound	Gene acts as a carrier for a compound	BioMedGPS::Carrier::Gene:Compound	A gene that encodes a carrier protein responsible for transporting a specific compound.	Does the #Gene# encode a carrier protein responsible for transporting #Compound#?	PrimeKG	carrier	Gene	Compound	
PrimeKG::enzyme::Gene:Compound	Gene acts as an enzyme for a compound	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	PrimeKG	enzyme	Gene	Compound	
PrimeKG::target::Gene:Compound	Gene targets a compound	BioMedGPS::Target::Gene:Compound	"A gene that is a target for a specific compound, often in the context of drug development or treatment."	"Is the #Gene# a target for #Compound#, often in the context of drug development or treatment?"	PrimeKG	target	Gene	Compound	
PrimeKG::transporter::Gene:Compound	Gene acts as a transporter for a compound	BioMedGPS::Transporter::Gene:Compound	A gene that encodes a transporter protein responsible for moving a specific compound across membranes or within the body.	Does the #Gene# encode a transporter protein responsible for moving #Compound# across membranes or within the body?	PrimeKG	transporter	Gene	Compound	
GNBR::D::Gene:Disease	The gene is a target for drugs in the context of a disease	BioMedGPS::Target::Gene:Disease	A gene that is a target for therapeutic intervention in the treatment of a specific disease.	Is the #Gene# a target for therapeutic intervention in the treatment of #Disease#?	GNBR	D	Gene	Disease	(D) drug targets
GNBR::G::Gene:Disease	The gene promotes the progression of a disease	BioMedGPS::Promotor::Gene:Disease	A gene that promotes the onset or progression of a specific disease.	Does the #Gene# promote the onset or progression of #Disease#?	GNBR	G	Gene	Disease	(G) promotes progression
GNBR::J::Gene:Disease	The gene plays a role in the pathogenesis of the disease	BioMedGPS::Causer::Gene:Disease	A gene that causes or contributes to the development of a specific disease.	Does the #Gene# cause or contribute to the development of #Disease#?	GNBR	J	Gene	Disease	(J) role in disease pathogenesis
GNBR::L::Gene:Disease	Improper regulation of the gene is linked to the disease	BioMedGPS::Promotor::Gene:Disease	A gene that promotes the onset or progression of a specific disease.	Does the #Gene# promote the onset or progression of #Disease#?	GNBR	L	Gene	Disease	(L) improper regulation linked to disease
GNBR::Md::Gene:Disease	The gene serves as a diagnostic biomarker	BioMedGPS::Biomarker::Gene:Disease	"A gene that serves as a biomarker for a specific disease, indicating the presence or progression of the disease."	"Does the #Gene# serve as a biomarker for #Disease#, indicating the presence or progression of the disease?"	GNBR	Md	Gene	Disease	(Md) biomarkers (diagnostic)
GNBR::Te::Gene:Disease	The gene has a possible therapeutic effect in the context of the disease	BioMedGPS::Target::Gene:Disease	A gene that is a target for therapeutic intervention in the treatment of a specific disease.	Is the #Gene# a target for therapeutic intervention in the treatment of #Disease#?	GNBR	Te	Gene	Disease	(Te) possible therapeutic effect
GNBR::Ud::Gene:Disease	Mutations in the gene affect the course of the disease	BioMedGPS::Causer::Gene:Disease	A gene that causes or contributes to the development of a specific disease.	Does the #Gene# cause or contribute to the development of #Disease#?	GNBR	Ud	Gene	Disease	(Ud) mutations affecting disease course
GNBR::U::Gene:Disease	The gene has causal mutations associated with the disease	BioMedGPS::Causer::Gene:Disease	A gene that causes or contributes to the development of a specific disease.	Does the #Gene# cause or contribute to the development of #Disease#?	GNBR	U	Gene	Disease	(U) causal mutations
GNBR::X::Gene:Disease	Overexpression of the gene is observed in the context of the disease	BioMedGPS::E+::Disease:Gene	"A gene that is significantly expressed in a specific disease context, indicating a strong association."	"Is the #Gene# significantly expressed in the context of #Disease#, indicating a strong association?"	GNBR	X	Gene	Disease	(X) overexpression in disease
GNBR::Y::Gene:Disease	Polymorphisms in the gene alter the risk of the disease	BioMedGPS::Risky::Gene:Disease	A gene that increases the risk of developing a specific disease.	Does the #Gene# increase the risk of developing #Disease#?	GNBR	Y	Gene	Disease	(Y) polymorphisms alter risk
PrimeKG::associated_with::Gene:Disease	Gene is associated with a disease	BioMedGPS::AssociatedWith::Gene:Disease	"A gene that is associated with a specific disease, suggesting a potential link or involvement in the disease process."	"Is the #Gene# associated with #Disease#, suggesting a potential link or involvement in the disease process?"	PrimeKG	associated_with	Gene	Disease	
CTD::marker/mechanism::Gene:Disease	Gene is a marker or mechanism in a disease	BioMedGPS::Biomarker::Gene:Disease	"A gene that serves as a biomarker for a specific disease, indicating the presence or progression of the disease."	"Does the #Gene# serve as a biomarker for #Disease#, indicating the presence or progression of the disease?"	CTD	marker/mechanism	Gene	Disease	
CTD::therapeutic::Gene:Disease	Gene has a therapeutic effect on a disease	BioMedGPS::Target::Gene:Disease	A gene that is a target for therapeutic intervention in the treatment of a specific disease.	Is the #Gene# a target for therapeutic intervention in the treatment of #Disease#?	CTD	therapeutic	Gene	Disease	
bioarx::HumGenHumGen:Gene:Gene	Interaction between two human genes	BioMedGPS::Interaction::Gene:Gene	"An interaction between two genes, suggesting they may work together or influence each other's function."	"Is there an interaction between #Gene1# and #Gene2#, suggesting they may work together or influence each other's function?"	bioarx	#VALUE!	#VALUE!	Gene	
bioarx::VirGenHumGen:Gene:Gene	Interaction between a viral gene and a human gene	BioMedGPS::VirGeneHumGene::Gene:Gene	"An interaction between a viral gene and a human gene, indicating a potential relationship, such as viral manipulation of the host gene."	"Is there an interaction between #Gene1# and #Gene2#, indicating a potential relationship like viral manipulation?"	bioarx	#VALUE!	#VALUE!	Gene	
GNBR::B::Gene:Gene	Binding of one gene to another gene (especially receptors)	BioMedGPS::Binder::Gene:Gene	"A gene product that binds to another gene product, potentially affecting its function or regulation."	"Does the #Gene1# bind to #Gene2#, potentially affecting its function or regulation?"	GNBR	B	Gene	Gene	"(B) binding, ligand (esp. receptors)"
GNBR::E+::Gene:Gene	One gene increases the expression or production of another gene	BioMedGPS::E+::Gene:Gene	A gene that significantly enhances the expression of another gene.	Does the #Gene1# significantly enhance the expression of #Gene2#?	GNBR	E+	Gene	Gene	(E+) increases expression/production
GNBR::E::Gene:Gene	One gene affects the expression or production of another gene in a neutral manner	BioMedGPS::E::Gene:Gene	A gene that has a general effect on the expression of another gene.	Does the #Gene1# have a general effect on the expression of #Gene2#?	GNBR	E	Gene	Gene	(E) affects expression/production (neutral)
GNBR::H::Gene:Gene	The two genes refer to the same protein or complex	BioMedGPS::InComplex::Gene:Gene	"Two genes whose products are part of the same complex, working together to perform a specific function."	"Are the products of #Gene1# and #Gene2# part of the same complex, working together to perform a specific function?"	GNBR	H	Gene	Gene	(H) same protein or complex
GNBR::I::Gene:Gene	The genes are involved in the same signaling pathway	BioMedGPS::InPathway::Gene:Gene	"Two genes that are part of the same biological pathway, contributing to a shared biological process."	"Are #Gene1# and #Gene2# part of the same biological pathway, contributing to a shared biological process?"	GNBR	I	Gene	Gene	(I) signaling pathway
GNBR::Q::Gene:Gene	One gene influences the production of a cell population	BioMedGPS::Influencer::Gene:Gene	A gene that influences the expression or activity of another gene.	Does the #Gene1# influence the expression or activity of #Gene2#?	GNBR	Q	Gene	Gene	(Q) production by cell population
GNBR::Rg::Gene:Gene	Regulation of gene expression	BioMedGPS::E::Gene:Gene	A gene that has a general effect on the expression of another gene.	Does the #Gene1# have a general effect on the expression of #Gene2#?	GNBR	Rg	Gene	Gene	(Rg) regulation
GNBR::V+::Gene:Gene	One gene activates or stimulates another gene	BioMedGPS::Activator::Gene:Gene	A gene that activates or enhances the expression or activity of another gene.	Does the #Gene1# activate or enhance the expression or activity of #Gene2#?	GNBR	V+	Gene	Gene	"(V+) activates, stimulates"
GNBR::W::Gene:Gene	One gene enhances the response of another gene	BioMedGPS::Activator::Gene:Gene	A gene that activates or enhances the expression or activity of another gene.	Does the #Gene1# activate or enhance the expression or activity of #Gene2#?	GNBR	W	Gene	Gene	(W) enhances response
Hetionet::GcG::Gene:Gene	Genes covary with each other	BioMedGPS::Covary::Gene:Gene	"Two genes that show correlated expression patterns, suggesting they may be co-regulated or functionally related."	"Do #Gene1# and #Gene2# show correlated expression patterns, suggesting they may be co-regulated or functionally related?"	Hetionet	GcG	Gene	Gene	Gene–covaries–Gene
Hetionet::GiG::Gene:Gene	Genes interact with each other	BioMedGPS::Interaction::Gene:Gene	"An interaction between two genes, suggesting they may work together or influence each other's function."	"Is there an interaction between #Gene1# and #Gene2#, suggesting they may work together or influence each other's function?"	Hetionet	GiG	Gene	Gene	Gene–interacts–Gene
Hetionet::Gr>G::Gene:Gene	One gene regulates another gene	BioMedGPS::Interaction::Gene:Gene	"An interaction between two genes, suggesting they may work together or influence each other's function."	"Is there an interaction between #Gene1# and #Gene2#, suggesting they may work together or influence each other's function?"	Hetionet	Gr>G	Gene	Gene	Gene→regulates→Gene
INTACT::ADP RIBOSYLATION REACTION::Gene:Gene	Reaction involving ADP-ribosylation of genes	BioMedGPS::AdpRibosylationReaction::Gene:Gene	"A reaction where one gene product modifies another gene product through ADP-ribosylation, affecting its function."	"Does the #Gene# modify #Gene# through ADP-ribosylation, affecting its function?"	INTACT	ADP RIBOSYLATION REACTION	Gene	Gene	
INTACT::ASSOCIATION::Gene:Gene	Simple association between two genes	BioMedGPS::AssociatedWith::Gene:Gene	"Two genes that are associated with each other, suggesting a potential relationship or interaction."	"Are #Gene1# and #Gene2# associated with each other, suggesting a potential relationship or interaction?"	INTACT	ASSOCIATION	Gene	Gene	
INTACT::CLEAVAGE REACTION::Gene:Gene	Reaction where a gene is cleaved	BioMedGPS::CleavageReaction::Gene:Gene	"A reaction where one gene product cleaves another, affecting its function or activating/inactivating it."	"Does the #Gene1# cleave #Gene2#, affecting its function or activating/inactivating it?"	INTACT	CLEAVAGE REACTION	Gene	Gene	
INTACT::COLOCALIZATION::Gene:Gene	Genes found in the same cellular location	BioMedGPS::InLocation::Gene:Gene	Two genes that are localized in the same cellular or subcellular location.	Are #Gene1# and #Gene2# localized in the same cellular or subcellular location?	INTACT	COLOCALIZATION	Gene	Gene	
INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	Reaction involving dephosphorylation of genes	BioMedGPS::DePhosphorylationReaction::Gene:Gene	"A reaction where one gene product removes a phosphate group from another gene product, affecting its activity."	"Does the #Gene1# remove a phosphate group from #Gene2#, affecting its activity?"	INTACT	DEPHOSPHORYLATION REACTION	Gene	Gene	
INTACT::DIRECT INTERACTION::Gene:Gene	Direct interaction between two genes	BioMedGPS::Interaction::Gene:Gene	"An interaction between two genes, suggesting they may work together or influence each other's function."	"Is there an interaction between #Gene1# and #Gene2#, suggesting they may work together or influence each other's function?"	INTACT	DIRECT INTERACTION	Gene	Gene	
INTACT::PHOSPHORYLATION REACTION::Gene:Gene	Reaction involving phosphorylation of genes	BioMedGPS::PhosphorylationReaction::Gene:Gene	"A reaction where one gene product phosphorylates another, modulating its activity."	"Does the #Gene1# phosphorylate #Gene2#, modulating its activity?"	INTACT	PHOSPHORYLATION REACTION	Gene	Gene	
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	Physical association between two genes	BioMedGPS::AssociatedWith::Gene:Gene	"Two genes that are associated with each other, suggesting a potential relationship or interaction."	"Are #Gene1# and #Gene2# associated with each other, suggesting a potential relationship or interaction?"	INTACT	PHYSICAL ASSOCIATION	Gene	Gene	
INTACT::PROTEIN CLEAVAGE::Gene:Gene	Cleavage or splitting of a protein (gene product)	BioMedGPS::ProteinCleavage::Gene:Gene	"A reaction where one gene product cleaves another, typically to activate or inactivate the protein."	"Does the #Gene1# cleave #Gene2#, typically to activate or inactivate the protein?"	INTACT	PROTEIN CLEAVAGE	Gene	Gene	
INTACT::UBIQUITINATION REACTION::Gene:Gene	Reaction involving ubiquitination of genes	BioMedGPS::UbiquitinationReaction::Gene:Gene	"A reaction where one gene product tags another with ubiquitin, marking it for degradation by the proteasome."	"Does the #Gene1# tag #Gene2# with ubiquitin, marking it for degradation by the proteasome?"	INTACT	UBIQUITINATION REACTION	Gene	Gene	
STRING::ACTIVATION::Gene:Gene	Activation of one gene by another gene	BioMedGPS::Activator::Gene:Gene	A gene that activates or enhances the expression or activity of another gene.	Does the #Gene1# activate or enhance the expression or activity of #Gene2#?	STRING	ACTIVATION	Gene	Gene	
STRING::BINDING::Gene:Gene	Binding or interaction between two genes	BioMedGPS::Binder::Gene:Gene	"A gene product that binds to another gene product, potentially affecting its function or regulation."	"Does the #Gene1# bind to #Gene2#, potentially affecting its function or regulation?"	STRING	BINDING	Gene	Gene	
STRING::CATALYSIS::Gene:Gene	Catalytic activity of one gene on another gene	BioMedGPS::Influencer::Gene:Gene	A gene that influences the expression or activity of another gene.	Does the #Gene1# influence the expression or activity of #Gene2#?	STRING	CATALYSIS	Gene	Gene	
STRING::EXPRESSION::Gene:Gene	Expression of one gene's influence on another	BioMedGPS::E::Gene:Gene	A gene that has a general effect on the expression of another gene.	Does the #Gene1# have a general effect on the expression of #Gene2#?	STRING	EXPRESSION	Gene	Gene	
STRING::INHIBITION::Gene:Gene	Inhibition of one gene's activity by another	BioMedGPS::Inhibitor::Gene:Gene	A gene that inhibits the expression or activity of another gene.	Does the #Gene1# inhibit the expression or activity of #Gene2#?	STRING	INHIBITION	Gene	Gene	
STRING::OTHER::Gene:Gene	Relationship type that doesn't fit other categories	BioMedGPS::AssociatedWith::Gene:Gene	"Two genes that are associated with each other, suggesting a potential relationship or interaction."	"Are #Gene1# and #Gene2# associated with each other, suggesting a potential relationship or interaction?"	STRING	OTHER	Gene	Gene	
STRING::PTMOD::Gene:Gene	Post-translational modification of a gene or gene product	BioMedGPS::PostTranslationalMod::Gene:Gene	"A post-translational modification where one gene product modifies another, affecting its function or stability."	"Does the #Gene1# modify #Gene2# post-translationally, affecting its function or stability?"	STRING	PTMOD	Gene	Gene	
STRING::REACTION::Gene:Gene	General biochemical reaction between two genes	BioMedGPS::Interaction::Gene:Gene	"An interaction between two genes, suggesting they may work together or influence each other's function."	"Is there an interaction between #Gene1# and #Gene2#, suggesting they may work together or influence each other's function?"	STRING	REACTION	Gene	Gene	
PrimeKG::ppi::Gene:Gene	Protein-protein interaction between genes	BioMedGPS::Interaction::Gene:Gene	"An interaction between two genes, suggesting they may work together or influence each other's function."	"Is there an interaction between #Gene1# and #Gene2#, suggesting they may work together or influence each other's function?"	PrimeKG	ppi	Gene	Gene	
Hetionet::GpMF::Gene:MolecularFunction	Gene participates in a molecular function	BioMedGPS::InMF::Gene:MolecularFunction	"A gene associated with a specific molecular function, indicating its role in a particular biochemical activity."	"Is the #Gene# associated with the #MolecularFunction#, indicating its role in a particular biochemical activity?"	Hetionet	GpMF	Gene	MolecularFunction	Gene–participates–Molecular Function
PrimeKG::interacts_with::Gene:MolecularFunction	Gene interacts with a molecular function	BioMedGPS::Interaction::Gene:MolecularFunction	"An interaction between a gene and a molecular function, suggesting that the gene product contributes to or affects that function."	"Is there an interaction between #Gene# and #MolecularFunction#, suggesting that the gene product contributes to or affects that function?"	PrimeKG	interacts_with	Gene	MolecularFunction	
Hetionet::GpPW::Gene:Pathway	Gene participates in a pathway	BioMedGPS::InPathway::Gene:Pathway	"A gene that is involved in a specific biological pathway, playing a role in the sequence of events that lead to a biological outcome."	"Is the #Gene# involved in the #BiologicalPathway#, playing a role in the sequence of events leading to a biological outcome?"	Hetionet	GpPW	Gene	Pathway	Gene–participates–Pathway
PrimeKG::interacts_with::Gene:Pathway	Gene interacts with a pathway	BioMedGPS::Interaction::Gene:Pathway	"An interaction between a gene and a biological pathway, suggesting that the gene may influence or be part of that pathway."	"Is there an interaction between #Gene# and the #BiologicalPathway#, suggesting that the gene may influence or be part of that pathway?"	PrimeKG	interacts_with	Gene	Pathway	
